	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
1-Mar	404	501	586	526	105	82	254	337
10-Sep	473	587	663	636	198	147	478	598
11-Sep	1032	1239	1468	1430	760	530	1539	2071
14-Sep	16	32	35	38	2	1	6	5
15-Sep	362	460	494	467	487	306	681	1055
2-Mar	167	174	240	212	64	39	120	144
2-Sep	2206	2844	3018	2952	1865	1358	3823	5661
3-Mar	40	51	40	38	24	18	37	48
3-Sep	49	67	133	104	44	38	90	112
5-Mar	314	449	428	430	327	197	608	753
6-Mar	1266	1556	2314	2009	853	546	1577	2398
6-Sep	229	319	350	294	243	232	580	707
7-Mar	1314	1633	1802	1519	606	462	1069	1179
7-Sep	1429	1763	1872	1907	760	561	1535	2052
8-Mar	124	156	190	168	15	4	27	58
8-Sep	623	815	853	798	307	230	552	839
9-Mar	35	29	66	48	25	22	52	86
9-Sep	404	534	562	422	258	199	612	713
AAAS	831	897	904	834	622	453	939	1456
AACS	197	247	288	286	210	146	396	575
AADAT	176	266	279	267	41	21	71	92
AAED1	99	142	139	120	48	38	129	133
AAGAB	933	1090	1360	1300	399	234	633	954
AAK1	52	77	142	151	103	70	191	287
AAMDC	113	162	174	170	46	32	60	133
AAMP	2185	2612	3031	2949	1187	818	2238	3437
AAR2	399	465	455	395	243	180	303	510
AARS	2327	3088	3244	3011	1252	845	2370	3314
AARS2	650	884	1014	880	202	123	266	461
AASDH	529	647	710	642	80	55	144	163
AASDHPPT	967	1105	1325	1182	578	454	1088	1485
AASS	780	954	1051	1016	253	144	261	449
AATF	953	1206	1263	1286	448	414	839	1200
ABCA1	35	37	54	72	3	1	2	2
ABCA10	33	43	68	52	3	1	5	5
ABCA2	195	261	336	272	84	40	176	222
ABCA3	365	529	622	492	143	77	295	411
ABCA5	310	404	483	435	84	55	147	205
ABCA7	100	170	223	190	41	24	72	86
ABCB1	120	144	140	156	339	226	663	823
ABCB10	1130	1419	1544	1488	137	105	239	391
ABCB6	192	227	239	178	90	58	174	240
ABCB7	1025	1301	1406	1226	375	263	816	1005
ABCB8	178	219	260	195	145	99	204	345
ABCB9	95	132	116	106	40	18	53	104
ABCC1	425	635	948	681	314	189	542	817
ABCC10	303	343	463	382	103	72	181	263
ABCC2	30	39	43	50	4	5	2	3
ABCC4	915	1152	1391	1304	300	208	500	684
ABCC5	423	567	697	652	181	112	215	388
ABCC8	26	37	40	30	6	2	7	10
ABCD1	27	29	41	34	19	4	42	48
ABCD3	1710	2133	2335	2154	856	586	1486	2097
ABCD4	245	379	354	339	60	41	97	143
ABCE1	3553	4340	4377	4140	1556	1197	3076	3950
ABCF1	1646	2138	2263	2260	924	649	1645	2317
ABCF2	2094	2521	2664	2435	686	549	1278	2007
ABCF3	367	452	548	526	146	125	310	437
ABCG2	50	59	55	37	24	21	92	92
ABHD10	577	659	724	701	281	193	527	676
ABHD12	194	250	255	232	72	59	187	228
ABHD13	82	100	79	76	46	34	88	109
ABHD14A	46	53	63	40	3	8	23	43
ABHD14B	91	108	117	91	33	29	63	106
ABHD15	28	32	36	34	11	5	24	26
ABHD16A	243	319	308	231	108	74	166	235
ABHD17A	272	316	337	284	27	16	58	81
ABHD17B	283	333	368	321	126	94	196	287
ABHD17C	37	58	74	61	41	44	95	166
ABHD2	275	321	370	379	196	117	333	494
ABHD3	177	253	217	190	140	90	244	340
ABHD4	24	24	42	42	33	34	65	111
ABHD5	289	365	376	311	61	39	124	143
ABHD6	79	85	112	88	22	13	60	110
ABI1	316	428	379	330	252	200	522	653
ABI2	338	486	501	446	137	96	299	374
ABL1	483	623	843	801	159	84	322	496
ABL2	540	733	971	841	88	71	188	209
ABLIM1	261	323	314	319	156	115	306	385
ABR	250	316	392	347	339	203	594	790
ABRACL	235	310	357	343	198	117	390	541
ABT1	675	809	818	743	262	179	389	606
ABTB2	44	63	79	74	75	39	139	144
ACAA1	233	330	350	319	198	117	311	452
ACAA2	499	610	693	705	863	640	1655	2070
ACACA	2128	2789	3683	3250	654	438	1118	1662
ACACB	209	309	384	325	37	21	44	55
ACAD10	161	243	272	241	90	71	97	165
ACAD8	211	276	298	293	70	44	89	136
ACAD9	627	798	874	828	324	267	644	811
ACADL	43	43	68	67	68	53	138	201
ACADM	1158	1477	1559	1560	633	460	1298	1530
ACADS	121	139	133	122	89	59	192	217
ACADSB	272	308	382	330	380	302	738	915
ACADVL	578	704	753	640	270	182	507	633
ACAP2	485	639	766	692	217	175	508	549
ACAP3	201	265	318	305	48	30	88	164
ACAT1	1625	2017	2297	2135	1001	697	2087	2589
ACAT2	1849	2159	2425	2237	936	649	1712	2279
ACBD3	980	1232	1248	1249	408	325	781	1071
ACBD5	213	274	301	275	188	157	382	580
ACBD6	752	1004	1036	948	147	118	303	386
ACCS	22	37	44	40	3	0	11	11
ACD	150	190	172	157	152	84	241	418
ACER3	98	118	95	101	42	32	90	109
ACIN1	2477	3260	3570	3311	1110	882	1722	2433
ACLY	6384	7871	7973	7024	2693	1869	5074	6869
ACN9	179	244	245	264	186	158	385	423
ACO1	762	932	1001	939	379	257	677	989
ACO2	883	1197	1221	1109	496	354	647	1098
ACOT13	219	266	319	295	128	119	362	339
ACOT2	261	356	353	314	256	188	369	527
ACOT7	306	449	515	514	889	607	1813	2698
ACOT8	110	150	168	121	100	52	193	258
ACOT9	355	436	479	429	226	215	492	652
ACOX1	643	780	843	822	377	305	751	1073
ACOX3	152	171	204	178	57	29	65	124
ACP1	550	688	803	713	468	379	984	1274
ACP2	163	194	197	187	106	77	186	294
ACP6	227	279	335	297	78	73	116	154
ACPL2	123	162	147	134	28	21	47	70
ACRC	43	69	87	42	4	11	2	2
ACSF2	105	126	107	91	61	33	127	142
ACSF3	249	323	358	322	110	72	182	292
ACSL1	329	386	400	425	253	204	555	709
ACSL3	1712	2115	2245	2153	1144	793	2024	2800
ACSL4	708	918	1028	975	620	445	1312	1646
ACSL6	40	58	63	55	6	11	10	20
ACSM3	13	26	38	26	14	21	46	43
ACSS1	122	175	187	202	111	72	203	300
ACSS2	167	173	221	194	52	34	102	161
ACSS3	37	42	48	46	52	48	126	164
ACTA1	132	136	131	86	715	590	1581	2347
ACTA2	39	53	49	41	225	158	400	677
ACTB	12190	15746	17954	16671	20591	14894	42689	60640
ACTG1	15980	21233	17047	14857	13124	9493	26490	40920
ACTL6A	828	1053	949	941	710	514	1245	1765
ACTN1	778	1053	1252	1031	898	572	1703	2432
ACTN2	55	81	130	117	28	13	48	57
ACTN4	1439	2019	2309	1968	3890	2761	7178	10630
ACTR10	490	671	664	633	466	323	872	1126
ACTR1A	757	962	896	810	1006	718	1836	2629
ACTR1B	266	384	436	377	63	44	135	202
ACTR2	1612	2258	2892	2713	1505	1181	2898	3915
ACTR3	1835	2330	2337	2194	1240	876	2106	2804
ACTR3B	208	222	367	274	87	46	113	161
ACTR3C	63	65	90	67	22	21	33	62
ACTR5	221	301	341	295	75	45	131	208
ACTR6	648	798	835	894	438	362	929	1080
ACTR8	1053	1244	1415	1325	264	211	475	619
ACTRT3	40	45	54	65	22	10	24	14
ACVR1	49	64	105	59	58	41	109	128
ACVR1B	186	218	262	270	136	81	210	400
ACVR2A	174	231	253	219	96	55	151	233
ACVR2B	295	394	465	417	40	17	67	96
ACY1	186	205	247	221	89	40	151	252
ACYP1	56	88	66	74	38	22	92	108
ADA	88	116	120	124	62	35	183	208
ADAL	117	123	142	117	27	14	69	58
ADAM10	475	665	742	707	283	202	569	693
ADAM11	107	127	147	128	36	29	67	100
ADAM15	670	796	851	730	178	107	351	508
ADAM17	522	648	732	739	99	59	168	277
ADAM19	39	54	43	62	6	5	22	40
ADAM22	191	302	295	278	27	7	71	78
ADAM23	153	240	245	220	56	30	118	169
ADAM9	1338	1747	1823	1744	273	130	516	690
ADAMTS1	527	650	668	597	1682	1033	3128	4677
ADAMTS13	65	66	147	97	2	3	5	2
ADAMTS17	95	135	183	167	18	7	19	45
ADAMTS19	71	89	137	114	41	29	83	125
ADAMTS20	135	180	234	177	21	18	24	39
ADAMTS3	169	198	205	191	47	23	86	115
ADAMTS6	45	32	60	50	6	4	5	5
ADAMTS7	27	53	55	41	7	7	12	21
ADAMTS9	121	188	255	238	8	9	24	24
ADAP1	37	57	59	54	1	1	6	18
ADAP2	50	53	73	71	12	15	22	35
ADAR	3483	4580	5119	4424	1514	1061	2685	3585
ADARB1	169	241	269	206	27	13	69	131
ADAT1	305	344	468	388	41	28	83	102
ADAT2	165	181	290	289	26	17	74	84
ADAT3	23	25	43	47	24	13	34	68
ADC	37	34	45	46	8	3	8	9
ADCK1	127	137	153	146	43	24	73	113
ADCK2	378	488	502	493	162	98	340	492
ADCK3	1220	1496	1467	1404	307	216	606	873
ADCK4	155	177	186	176	108	82	188	258
ADCK5	25	38	49	42	7	3	12	19
ADCY1	213	282	325	296	15	4	25	16
ADCY3	566	752	823	703	127	82	317	453
ADCY6	181	208	302	243	144	76	270	407
ADCY9	269	349	523	454	87	47	200	252
ADD1	838	1086	1170	1151	600	395	1116	1600
ADD2	224	297	347	348	82	69	213	320
ADD3	938	1145	1020	950	509	425	1110	1477
ADH5	2028	2418	2291	2248	744	491	1328	2152
ADI1	668	937	1079	1043	228	181	397	631
ADIPOR1	943	1211	1255	1186	141	101	308	466
ADIPOR2	405	460	462	441	261	177	476	713
ADK	593	767	841	802	384	286	802	998
ADM	40	51	30	38	56	31	62	114
ADNP	1210	1593	2558	2149	810	555	1392	1910
ADNP2	824	1007	1259	1096	268	197	416	554
ADO	115	133	102	129	72	44	133	206
ADORA2A	24	40	33	22	1	2	14	5
ADORA2B	111	127	127	110	35	19	67	71
ADPGK	593	687	828	707	197	156	361	527
ADPRHL1	25	29	41	32	12	8	11	18
ADPRHL2	374	444	501	469	173	113	313	498
ADPRM	78	86	85	61	18	19	25	50
ADRA2C	30	46	35	42	5	0	4	7
ADRBK1	538	707	705	674	77	57	247	319
ADRBK2	378	491	524	479	21	20	70	78
ADRM1	845	895	1001	921	1009	736	1791	3178
ADSL	3216	3842	3822	3582	892	615	2139	2700
ADSS	1833	2446	2581	2727	454	286	935	1405
AEBP2	240	319	445	356	217	139	363	562
AEN	447	519	536	503	274	196	376	667
AES	175	226	202	163	258	216	674	965
AFAP1	120	187	225	246	51	32	102	137
AFAP1L1	74	83	92	76	25	20	74	83
AFF1	260	338	453	379	216	169	419	530
AFF3	64	85	120	92	60	51	136	180
AFF4	1060	1424	1810	1437	692	489	1470	1778
AFG3L2	1757	2127	2506	2405	473	344	897	1259
AFMID	73	93	106	102	74	46	122	167
AFTPH	454	608	673	570	83	59	209	309
AGA	154	205	209	211	86	45	196	254
AGAP1	265	347	393	384	52	35	153	248
AGAP11	163	209	303	275	9	6	15	17
AGAP3	601	646	870	676	132	124	337	552
AGAP4	464	619	800	709	41	17	38	31
AGAP5	370	508	642	581	36	22	48	50
AGAP6	480	615	778	660	41	15	38	37
AGAP7	412	552	718	664	38	15	37	32
AGAP8	801	1052	1362	1193	62	29	67	63
AGAP9	851	1164	1560	1495	90	42	96	82
AGBL3	24	30	26	39	10	2	11	16
AGBL5	812	958	968	799	58	43	167	223
AGFG1	761	1012	1005	799	617	414	1006	1394
AGFG2	50	71	71	61	56	37	76	130
AGGF1	829	1011	1149	1026	162	125	256	345
AGK	733	952	1018	916	371	310	705	1133
AGL	1606	2113	2464	2058	644	447	1157	1508
AGMAT	25	38	43	35	1	0	1	1
AGO1	511	667	848	762	185	130	400	561
AGO2	556	746	928	738	187	172	504	679
AGO3	374	510	588	526	95	54	193	237
AGO4	180	204	234	215	34	25	67	92
AGPAT1	143	206	222	208	138	89	367	531
AGPAT2	87	119	121	120	179	113	329	475
AGPAT3	289	327	426	365	106	71	260	396
AGPAT4	142	207	227	203	69	58	133	181
AGPAT5	334	368	421	473	113	83	265	387
AGPAT6	683	855	939	885	186	115	265	472
AGPAT9	89	95	106	74	99	63	228	362
AGPHD1	151	161	221	187	34	18	73	88
AGPS	1473	1843	1955	2079	689	536	1354	1800
AGRN	285	350	622	516	375	188	654	1262
AGTPBP1	1738	2169	2352	2315	245	186	547	730
AGTRAP	134	125	108	84	109	96	236	382
AGXT2L2	166	183	224	221	18	23	57	54
AHCTF1	2759	3482	4067	3588	426	311	759	1003
AHCY	2792	3366	3021	2591	1011	728	2235	3680
AHCYL1	894	1081	1240	1070	567	417	1147	1427
AHCYL2	173	210	270	258	124	82	220	297
AHDC1	19	36	87	46	55	45	115	190
AHI1	692	855	997	904	103	81	226	262
AHNAK	1308	1723	2409	2460	710	412	1133	1375
AHNAK2	234	279	371	358	83	28	141	102
AHR	316	363	342	293	212	192	470	590
AHRR	80	128	137	140	10	1	7	17
AHSA1	2725	3465	3408	3172	803	575	1518	2170
AHSA2	53	80	90	106	1	0	0	2
AIDA	230	334	381	357	66	62	182	240
AIF1L	69	98	117	101	178	141	361	457
AIFM1	1561	1962	2028	1962	868	568	1479	2068
AIFM2	42	51	71	75	209	141	373	515
AIG1	278	334	435	357	205	123	357	554
AIMP1	820	1036	1107	1108	311	271	609	916
AIMP2	878	985	1048	1009	499	361	968	1503
AIP	461	526	511	500	307	199	561	818
AJUBA	61	57	102	86	24	14	31	71
AK000470	166	232	260	240	0	0	0	0
AK055601	43	66	49	35	36	23	67	67
AK097143	2114	3089	6464	5846	26	12	28	17
AK1	232	285	330	326	135	124	240	460
AK2	2168	2665	3029	3137	1152	832	2077	3191
AK293147	60	78	140	127	9	5	2	8
AK296947	38	54	81	92	39	27	42	66
AK3	167	209	231	217	133	131	402	428
AK302092	92	145	202	188	4	4	2	8
AK302511	85	126	127	73	9	5	20	12
AK304826	581	692	902	720	58	11	62	33
AK308309	128	159	216	217	29	26	75	80
AK310228	629	789	860	652	45	7	40	16
AK310526	35	41	45	55	3	2	4	6
AK4	311	395	431	403	227	190	517	683
AK9	52	53	73	82	18	16	41	58
AKAP1	1381	1679	1928	1753	246	170	363	615
AKAP10	516	726	814	689	80	61	180	213
AKAP11	1727	2192	2940	2776	515	389	954	1404
AKAP12	2265	2906	3384	3218	693	501	1464	1721
AKAP13	1392	1727	2344	2023	274	197	453	613
AKAP17A	494	682	730	692	190	144	290	522
AKAP5	69	88	99	91	13	11	39	52
AKAP6	76	120	148	118	12	13	20	26
AKAP7	55	72	94	110	21	25	54	56
AKAP8	517	664	784	755	277	197	375	614
AKAP8L	858	1084	1059	968	410	320	606	921
AKAP9	2329	4215	4446	4417	415	346	842	1068
AKIP1	129	132	191	132	93	69	158	199
AKIRIN1	244	293	353	274	344	252	740	991
AKIRIN2	73	99	172	135	332	295	507	769
AKNA	24	34	37	35	19	10	37	33
AKR1A1	506	569	642	555	299	208	498	896
AKR1B1	1269	1442	1374	1260	1236	880	2418	3415
AKR7A2	514	517	561	508	397	278	739	1168
AKR7A3	44	49	77	63	50	27	85	132
AKT1	866	1100	1110	970	184	106	358	584
AKT1S1	80	123	113	105	82	56	172	248
AKT2	725	869	870	770	337	204	704	1106
AKT3	628	827	997	892	53	41	148	190
AKTIP	161	186	190	188	51	36	133	170
ALAD	69	82	127	98	40	29	77	116
ALAS1	853	1082	1010	980	291	175	505	677
ALCAM	789	954	1011	867	257	133	455	603
ALDH16A1	388	432	540	524	144	82	220	420
ALDH18A1	2790	3432	3843	3401	970	677	1255	2012
ALDH1A2	732	925	967	904	561	387	1237	1751
ALDH1B1	702	870	970	915	284	184	534	742
ALDH1L2	348	452	579	555	116	78	229	271
ALDH2	326	417	412	371	474	376	1112	1439
ALDH3A2	1007	1219	1462	1354	387	228	706	995
ALDH4A1	96	111	125	91	94	65	226	315
ALDH5A1	230	378	395	457	260	167	444	654
ALDH6A1	263	351	357	316	203	125	358	461
ALDH7A1	705	892	1220	1054	756	555	1536	2008
ALDH9A1	1238	1608	1627	1490	896	598	1599	2228
ALDOA	10087	12257	12014	11227	6876	4678	13731	20825
ALDOC	40	48	42	40	74	61	259	280
ALG1	391	510	525	435	154	107	285	480
ALG10	407	513	481	391	328	213	630	905
ALG10B	352	450	398	323	280	215	575	824
