	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
A1BG	67	73	93	141
A2M	73	57	71	109
AAAS	1147	1070	1935	2747
AACS	351	335	397	709
AADAT	321	315	414	613
AAGAB	1498	1410	2110	2827
AAK1	288	240	228	470
AAMDC	255	263	418	608
AAMP	3459	3311	4933	6574
AAR2	549	469	901	1352
AARS	4030	3757	5470	7949
AARS2	1267	1111	1626	2410
AASDH	885	779	1271	1862
AASDHPPT	1510	1391	2318	3200
AASS	1224	1162	1851	2532
AATF	1560	1569	2163	2864
AATK	44	40	37	67
ABAT	37	24	48	69
ABCA1	74	86	83	115
ABCA10	27	21	32	44
ABCA12	49	32	31	72
ABCA2	390	315	408	702
ABCA3	702	546	728	1248
ABCA5	559	484	733	1111
ABCA7	299	249	285	491
ABCB1	150	157	257	363
ABCB10	1412	1308	2016	2971
ABCB4	27	17	18	47
ABCB6	332	239	411	648
ABCB7	1558	1394	2336	3398
ABCB8	365	286	429	679
ABCB9	152	133	242	312
ABCC1	1114	827	924	1741
ABCC10	569	426	574	971
ABCC2	59	63	97	113
ABCC4	1657	1519	2203	3199
ABCC5	999	923	1188	1765
ABCC6	21	36	33	52
ABCC8	54	47	70	93
ABCD1	46	37	67	97
ABCD2	21	18	32	40
ABCD3	2754	2541	3911	5670
ABCD4	625	580	742	1077
ABCE1	3873	3640	6173	8913
ABCF1	2623	2595	3779	5034
ABCF2	33	31	87	134
ABCF3	619	593	858	1134
ABCG1	25	19	24	54
ABCG2	64	44	96	154
ABHD1	47	48	59	102
ABHD10	883	834	1324	1848
ABHD11	197	132	225	377
ABHD12	335	298	580	833
ABHD12B	51	35	53	98
ABHD13	96	101	208	282
ABHD14A	99	46	123	155
ABHD14B	162	122	262	318
ABHD15	53	51	67	108
ABHD16A	330	247	535	699
ABHD16B	47	44	43	59
ABHD17A	29	29	47	65
ABHD17B	411	339	625	870
ABHD17C	86	81	108	168
ABHD18	368	310	518	749
ABHD2	423	433	624	945
ABHD3	278	229	470	667
ABHD4	56	57	45	89
ABHD5	501	416	741	1052
ABHD6	155	116	174	263
ABHD8	126	95	118	171
ABI1	540	470	967	1282
ABI2	634	553	897	1352
ABI3BP	39	41	40	69
ABL1	1011	945	1097	1770
ABL2	1153	994	1265	1983
ABLIM1	517	504	892	1217
ABLIM2	19	16	28	43
ABR	460	421	508	834
ABRACL	406	409	641	878
ABRAXAS1	223	211	295	432
ABRAXAS2	527	454	764	1056
ABT1	1036	989	1637	2269
ABTB1	16	22	24	33
ABTB2	119	103	136	249
AC003665.1	28	20	35	53
AC004475.1	544	483	783	1108
AC004832.3	109	68	172	199
AC005520.1	28	35	43	55
AC006213.1	105	80	99	154
AC007950.1	488	396	642	883
AC008403.1	37	48	38	61
AC008581.2	11	19	12	18
AC008755.1	982	941	797	1390
AC008878.3	13	18	30	31
AC009133.6	28	30	39	52
AC010618.1	425	351	491	674
AC010761.1	66	53	74	95
AC011462.1	68	54	70	125
AC011481.1	1387	1321	2264	3255
AC011529.1	78	65	82	147
AC012309.1	14	12	35	35
AC018523.2	35	33	66	56
AC018630.2	33	28	23	43
AC023055.1	89	76	148	192
AC025287.4	36	20	30	31
AC026464.4	51	46	60	100
AC026470.1	704	683	1055	1489
AC026786.1	38	28	51	69
AC026954.2	28	25	43	78
AC068790.8	146	121	258	300
AC068831.7	96	106	91	116
AC073610.2	39	44	60	81
AC073896.1	110	96	128	168
AC074143.1	24	26	20	39
AC079447.1	84	66	88	123
AC080038.1	125	107	150	246
AC087289.1	53	53	70	89
AC090004.1	120	79	142	260
AC091551.1	18	11	27	44
AC092073.1	134	118	133	240
AC092338.1	488	439	624	867
AC092647.5	37	40	54	70
AC092835.1	81	72	89	153
AC093323.1	40	55	52	95
AC093512.2	82	70	103	139
AC099489.1	130	104	115	225
AC104109.3	180	135	223	319
AC117378.1	567	559	861	1160
AC118549.1	3911	3579	5596	8272
AC118553.2	18	29	28	58
AC118754.1	56	37	45	82
AC124319.1	2288	1880	2135	3839
