	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
A1BG	67	73	70	80
A2M	73	57	57	57
AAAS	1144	1067	1210	900
AACS	351	335	288	294
AADAT	322	315	315	244
AAGAB	1498	1410	1330	940
AAK1	288	240	169	242
AAMDC	255	263	270	198
AAMP	3458	3311	3069	2248
AAR2	549	469	621	430
AARS	4030	3757	3916	3155
AARS2	1267	1111	1093	926
AASDH	885	779	819	641
AASDHPPT	1510	1391	1338	985
AASS	1224	1162	1170	857
AATF	1560	1569	1485	1119
ABCA1	74	86	43	56
ABCA2	390	315	311	330
ABCA3	702	546	558	548
ABCA5	559	484	537	443
ABCA7	299	249	240	225
ABCB1	150	156	181	149
ABCB10	1412	1308	1286	1033
ABCB6	331	239	274	246
ABCB7	1560	1393	1531	1033
ABCB8	365	286	323	276
ABCB9	152	133	154	108
ABCC1	1113	828	790	930
ABCC10	569	426	440	464
ABCC2	59	63	55	70
ABCC4	1657	1519	1356	1127
ABCC5	999	922	835	795
ABCC8	54	47	48	39
ABCD1	46	37	42	46
ABCD3	2754	2540	2425	1742
ABCD4	625	580	537	473
ABCE1	3871	3640	3887	2704
ABCF1	2621	2595	2632	2100
ABCF2	33	31	38	43
ABCF3	618	593	507	460
ABCG2	64	44	71	41
ABHD1	47	48	49	50
ABHD10	883	834	834	577
ABHD11	197	132	136	117
ABHD12	358	321	364	286
ABHD12B	51	35	36	50
ABHD13	96	101	118	86
ABHD14A	99	46	66	50
ABHD14B	162	122	172	116
ABHD15	53	51	42	26
ABHD16A	330	247	383	231
ABHD17B	411	339	384	257
ABHD17C	86	81	70	59
ABHD18	369	310	315	250
ABHD2	423	433	402	393
ABHD3	278	229	325	201
ABHD4	56	57	31	35
ABHD5	501	416	484	365
ABHD6	155	116	109	72
ABHD8	127	95	86	100
ABI1	540	470	598	406
ABI2	634	554	664	504
ABI3BP	39	41	32	25
ABITRAM	148	136	135	101
ABL1	1011	945	779	817
ABL2	1153	994	919	969
ABLIM1	517	504	562	420
ABR	460	421	394	327
ABRACL	406	409	379	255
ABRAXAS1	223	210	228	202
ABRAXAS2	527	454	499	344
ABT1	1036	989	1092	737
ABTB2	119	103	94	89
AC004706.3	93	77	60	53
AC004832.3	109	68	109	64
AC015871.1	57	61	36	37
AC023055.1	87	74	86	54
AC026464.4	51	46	44	30
AC068831.7	91	102	55	43
AC073896.1	110	96	83	59
AC079447.1	96	73	89	27
AC090004.1	120	79	121	98
AC092073.1	134	118	90	117
AC092835.1	81	72	53	46
AC093512.2	82	70	68	39
AC099489.1	130	105	107	119
AC104109.3	178	134	147	54
AC117378.1	566	558	593	247
AC118549.1	3911	3577	3780	2874
AC138811.2	524	363	518	153
AC245033.1	569	404	583	126
ACAA1	542	481	478	377
ACAA2	552	536	470	337
ACACA	4340	3888	3530	3243
ACACB	484	413	395	420
ACAD10	338	300	281	246
ACAD11	1534	1312	1279	942
ACAD8	424	415	397	304
ACAD9	1103	982	963	847
ACADL	81	73	53	28
ACADM	1953	1987	1846	1240
ACADS	163	145	169	108
ACADSB	400	375	389	310
ACADVL	1201	1037	1183	949
ACAP2	870	787	819	600
ACAP3	418	368	388	355
ACAT1	2463	2290	2205	1493
ACAT2	2709	2475	2504	1816
