	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
A1BG	29	43	7	16	67	73	93	141
A2M	3	5	1	4	73	57	71	109
AAAS	1441	1981	668	1162	1144	1067	1935	2746
AACS	575	727	265	466	351	335	397	709
AADAT	98	120	44	71	322	315	414	613
AAGAB	1046	1276	538	954	1498	1410	2110	2827
AAK1	423	520	202	376	288	240	228	470
AAMDC	137	237	90	136	255	263	418	608
AAMP	3524	4712	1714	2808	3458	3311	4933	6574
AAR2	487	681	248	418	549	469	900	1351
AARS	3692	4343	1655	2798	4030	3757	5470	7950
AARS2	408	598	229	291	1267	1111	1625	2409
AASDH	228	221	79	168	885	779	1271	1861
AASDHPPT	1749	1962	800	1403	1510	1391	2318	3200
AASS	410	586	308	497	1224	1162	1850	2532
AATF	1251	1565	575	1145	1560	1569	2162	2863
ABCA1	6	4	5	1	74	86	83	115
ABCA2	329	342	184	297	390	315	408	701
ABCA3	445	532	241	367	702	546	728	1248
ABCA5	242	260	129	192	559	484	733	1111
ABCA7	115	130	68	81	299	249	285	491
ABCB1	947	1024	429	718	150	156	256	362
ABCB10	269	401	123	244	1412	1308	2016	2971
ABCB6	260	314	135	230	331	239	411	648
ABCB7	1258	1328	567	1036	1560	1393	2337	3403
ABCB8	345	486	174	330	365	286	429	679
ABCB9	97	132	55	85	152	133	242	312
ABCC1	818	1070	461	782	1113	828	924	1741
ABCC10	276	341	141	249	569	426	574	972
ABCC2	7	4	4	4	59	63	97	113
ABCC4	818	935	385	753	1657	1519	2204	3198
ABCC5	383	521	210	373	999	922	1188	1765
ABCC8	12	12	4	10	54	47	70	93
ABCD1	60	61	26	48	46	37	67	97
ABCD3	2419	2735	1120	2104	2754	2540	3908	5668
ABCD4	167	199	83	125	625	580	742	1077
ABCE1	2145	2366	863	1788	3871	3640	6171	8912
ABCF1	2542	3114	1184	2072	2621	2595	3779	5029
ABCF2	26	49	20	24	33	31	87	134
ABCF3	470	589	222	377	618	593	858	1134
ABCG2	135	118	45	90	64	44	96	154
ABHD1	3	1	0	1	47	48	59	102
ABHD10	843	919	344	673	883	834	1324	1848
ABHD11	207	290	112	175	197	132	225	377
ABHD12	289	317	124	212	358	321	610	875
ABHD12B	0	0	0	0	51	35	53	98
ABHD13	131	144	54	132	96	101	208	281
ABHD14A	39	44	11	33	99	46	123	155
ABHD14B	115	136	39	104	162	122	262	318
ABHD15	33	34	9	24	53	51	67	108
ABHD16A	216	247	115	192	330	247	535	699
ABHD17B	323	406	167	306	411	339	625	870
ABHD17C	164	210	79	117	86	81	108	168
ABHD18	224	265	84	165	369	310	517	750
ABHD2	485	648	271	455	423	433	624	945
ABHD3	384	468	212	310	278	229	470	667
ABHD4	105	137	46	88	56	57	45	89
ABHD5	189	202	78	131	501	416	741	1052
ABHD6	92	131	46	72	155	116	174	263
ABHD8	258	354	119	173	127	95	118	171
ABI1	769	829	308	572	540	470	967	1282
ABI2	469	471	218	341	634	554	897	1351
ABI3BP	1	4	5	2	39	41	40	69
ABITRAM	136	222	60	138	148	136	196	299
ABL1	480	668	224	426	1011	945	1097	1770
ABL2	283	273	116	188	1153	994	1265	1983
ABLIM1	559	588	227	373	517	504	892	1217
ABR	1023	1239	475	823	460	421	505	831
ABRACL	673	764	325	629	406	409	641	878
ABRAXAS1	92	104	41	76	223	210	295	432
ABRAXAS2	560	575	188	460	527	454	764	1056
ABT1	601	849	304	520	1036	989	1637	2268
ABTB2	190	204	73	138	119	103	136	249
AC004706.3	15	39	17	20	93	77	59	96
AC004832.3	1	6	2	2	109	68	172	199
AC015871.1	4	5	2	4	57	61	76	99
AC023055.1	305	318	102	239	87	74	148	192
AC026464.4	54	97	26	74	51	46	60	100
AC068831.7	17	41	6	15	91	102	85	108
AC073896.1	16	38	7	16	110	96	128	168
AC079447.1	233	258	101	198	96	73	98	147
AC090004.1	0	0	0	0	120	79	142	260
AC092073.1	0	1	0	1	134	118	133	240
AC092835.1	52	70	26	54	81	72	89	153
AC093512.2	214	183	79	197	82	70	103	139
AC099489.1	2	5	0	10	130	105	115	225
AC104109.3	851	1084	434	926	178	134	221	319
AC117378.1	1643	1928	620	1296	566	558	858	1157
AC118549.1	392	427	154	289	3911	3577	5596	8270
AC138811.2	1686	2367	842	1787	524	363	737	1135
AC245033.1	931	1604	609	1003	569	404	808	1123
ACAA1	482	611	219	367	542	481	736	998
ACAA2	1420	1508	666	1100	552	536	708	1085
ACACA	1748	2179	920	1548	4340	3888	5074	7724
ACACB	70	73	37	81	484	413	507	838
ACAD10	175	212	99	147	338	300	442	650
ACAD11	1121	1109	542	884	1534	1312	1873	2801
ACAD8	142	191	62	142	424	415	559	811
ACAD9	974	1081	469	816	1103	982	1522	2188
ACADL	220	253	104	203	81	73	98	131
ACADM	2058	2067	900	1595	1953	1987	3028	4033
ACADS	308	297	113	193	163	145	262	343
ACADSB	1275	1231	532	980	400	375	562	853
ACADVL	790	853	397	651	1201	1037	1716	2534
ACAP2	735	723	325	566	870	787	1180	1724
ACAP3	157	232	111	161	418	368	570	732
ACAT1	3161	3312	1368	2726	2463	2290	3414	4879
ACAT2	2780	3246	1304	2262	2709	2475	4133	5565
ACBD3	1234	1398	518	970	1476	1467	2229	2913
ACBD5	617	782	262	527	344	322	474	647
ACBD6	459	508	188	357	1127	1037	1757	2453
ACCS	17	15	5	7	65	62	70	120
ACD	370	532	189	331	231	221	386	514
ACER3	152	163	75	153	144	126	234	350
ACIN1	2719	3314	1185	2396	4604	4364	6091	8544
ACLY	7972	9100	3429	6412	9048	7963	13585	19389
ACO1	1082	1294	519	921	1151	1093	1729	2399
ACO2	771	1066	436	717	1661	1443	2303	3438
ACOT13	634	559	276	507	383	350	593	785
ACOT2	128	187	62	139	140	128	213	278
ACOT7	2119	2891	941	1687	546	536	639	987
ACOT8	289	354	139	254	237	182	317	483
ACOT9	805	869	346	633	570	510	848	1150
ACOX1	1270	1464	566	1093	978	956	1433	2088
ACOX3	107	155	60	103	280	254	307	516
ACP1	1300	1477	589	1130	1107	976	1575	2102
ACP2	312	407	163	298	254	239	345	585
ACP4	1	1	0	1	27	25	64	75
ACP6	199	223	98	172	461	386	606	841
ACSF2	193	188	60	116	149	123	215	334
ACSF3	330	409	122	246	461	415	619	896
ACSL1	890	928	406	725	484	470	778	1053
ACSL3	3216	3681	1543	2814	2676	2485	3926	5579
ACSL4	1997	2168	809	1615	1285	1234	1854	2525
ACSM3	62	52	24	30	172	151	238	358
ACSS1	304	387	194	264	234	231	310	487
ACSS2	159	223	71	131	285	244	441	523
ACSS3	189	211	94	145	59	62	69	124
ACTA2	430	700	248	451	73	63	82	130
ACTB	26215	31722	11082	20746	16750	15306	25166	37078
ACTG1	20400	26150	8477	15573	18478	16213	34199	46597
ACTL6A	2022	2417	898	1661	1072	1032	1837	2661
ACTN1	2007	2716	895	1686	1412	1199	1746	2748
ACTN2	7	23	6	12	194	180	193	312
ACTN4	9082	12175	4203	7253	2389	2093	3091	4852
ACTR10	1333	1446	613	1072	806	792	1355	1949
ACTR1A	2516	3190	1219	1976	1736	1539	2616	3791
ACTR1B	214	286	118	175	522	459	787	1098
ACTR2	1819	2289	851	1637	2387	2284	2984	4107
ACTR3	2666	3033	1146	2238	2590	2447	4003	5643
ACTR3B	59	80	27	47	247	176	220	404
ACTR5	196	266	97	169	413	354	559	839
ACTR6	1399	1425	567	1162	1029	1079	1637	2173
ACTR8	721	798	309	565	1741	1611	2415	3470
ACTRT3	41	26	17	33	57	76	78	115
ACVR1	162	159	94	137	127	75	137	207
ACVR1B	347	519	207	361	322	329	382	553
ACVR1C	18	26	5	17	33	36	46	60
ACVR2A	224	291	107	211	304	285	477	641
ACVR2B	93	130	50	73	496	437	561	862
ACYP1	213	212	71	137	147	156	201	314
ACYP2	60	78	26	38	37	36	67	73
ADA	286	285	96	199	197	179	257	384
ADAL	123	107	56	80	184	168	256	391
ADAM10	853	906	507	853	930	873	1250	1795
ADAM11	103	131	56	107	131	121	206	288
ADAM15	522	676	277	467	1003	828	1502	2165
ADAM17	259	357	155	276	881	850	1184	1659
ADAM19	43	51	23	39	51	69	78	113
ADAM22	107	103	49	111	406	346	533	847
ADAM23	180	220	106	177	292	283	371	567
ADAM9	804	886	517	759	1994	1943	2929	3977
ADAMTS1	4767	6229	2325	4298	833	746	1259	1706
ADAMTS13	21	9	21	13	161	112	136	230
ADAMTS17	35	59	21	26	256	241	242	460
ADAMTS19	138	185	86	136	210	196	219	325
ADAMTS2	73	80	42	55	47	27	53	111
ADAMTS20	51	48	24	57	305	252	345	537
ADAMTS3	144	162	72	154	257	272	404	604
ADAMTS6	9	5	7	6	66	67	78	135
ADAMTS9	32	35	21	28	298	279	320	532
ADAMTSL4	8	5	3	7	40	40	51	95
ADAP1	13	24	8	15	57	60	124	163
ADAP2	49	49	23	32	83	77	118	156
ADAR	4150	4812	1763	3436	5930	5169	8150	12097
ADARB1	107	199	49	109	354	284	459	716
ADAT1	135	124	60	106	537	445	588	962
ADAT2	116	112	46	61	357	357	340	539
ADAT3	53	100	20	58	58	59	68	108
ADCK1	114	150	50	86	185	185	268	351
ADCK2	524	627	275	380	593	555	842	1182
ADCK5	19	29	16	17	66	62	107	128
ADCY1	37	22	11	30	392	341	488	729
ADCY3	501	618	278	421	1229	1058	1579	2468
ADCY6	414	556	231	330	381	322	412	659
ADCY7	73	62	28	55	103	83	122	210
ADCY9	297	361	163	264	614	560	594	1023
ADCYAP1R1	12	20	6	17	25	25	33	51
ADD1	1652	2061	827	1421	1370	1395	1884	2811
ADD2	338	444	117	248	463	441	564	865
ADD3	1748	1973	839	1475	1347	1188	2237	3230
ADGRA2	28	38	22	21	92	65	114	182
ADGRA3	170	195	82	159	1070	941	1410	2180
ADGRB2	54	48	32	45	279	237	348	462
ADGRB3	14	11	15	18	363	327	433	630
ADGRE5	1085	1292	599	978	93	57	83	123
ADGRG6	394	394	224	399	105	107	130	206
ADGRL1	276	285	155	238	816	624	790	1445
ADGRL2	859	983	437	819	2653	2300	3983	5893
